Band1,Band2,Band3,Band4,Band5,Band6,Band7,Band9,Band10,Band11,sunelevation,ReflectanceBand1,ReflectanceBand2,ReflectanceBand3,ReflectanceBand4,ReflectanceBand5,ReflectanceBand6,ReflectanceBand7,ReflectanceBand9,ReflectanceBand10,ReflectanceBand11,CorrectiveBand1,CorrectiveBand2,CorrectiveBand3,CorrectiveBand4,CorrectiveBand5,CorrectiveBand6,CorrectiveBand7,CorrectiveBand9,CorrectiveBand10,CorrectiveBand11,NDVI,SAVI,EVI,Soiltype
11459,11217,11315,11872,14396,15033,13996,5060,31668,28594,42.51401151,0.12918,0.12434,0.18792,0.18792,0.20066,0.17992,0.0012,0.53336,0.47188,0.53336,-0.129861725,-0.124996183,-0.188911715,-0.188911715,-0.201718948,-0.180869496,-0.001206333,-0.536174714,-0.474370264,-0.536174714,0.021645316,0.032467974,6.56E-10,Loamy Sand
9970,9352,8687,8171,11752,8866,7044,5019,23836,22002,31.34267194,0.0994,0.08704,0.13504,0.13504,0.07732,0.04088,0.00038,0.37672,0.34004,0.37672,-1.358125796,-1.189248182,-1.845083576,-1.845083576,-1.056441514,-0.558553144,-0.00519203,-5.147214786,-4.646047238,-5.147214786,-0.139974779,-0.209962169,-7.40E-09,Clay Loam
13358,12775,11789,11659,13822,10347,9536,7162,15776,14752,36.29734783,0.16716,0.1555,0.17644,0.17644,0.10694,0.09072,0.04324,0.21552,0.19504,0.21552,-0.169576805,-0.157748224,-0.178990976,-0.178990976,-0.108486142,-0.092031633,-0.043865165,-0.218635996,-0.197859895,-0.218635996,-0.143779221,-0.215668832,-4.75E-09,Sandy Loam
10694,10151,10051,10759,13272,12442,11390,5070,30318,27640,45.90434748,0.11388,0.10302,0.16544,0.16544,0.14884,0.1278,0.0014,0.50636,0.4528,0.50636,0.121285449,0.10971924,0.176198321,0.176198321,0.158518847,0.136110647,0.00149104,0.539287849,0.48224492,0.539287849,-0.032278136,-0.048417205,-1.24E-09,Silty Clay
11228,10656,9931,9708,12756,10703,8551,5066,0,0,36.60746533,0.12456,0.11312,0.15512,0.15512,0.11406,0.07102,0.00132,-0.1,-0.1,-0.1,-0.140367136,-0.127475357,-0.174805316,-0.174805316,-0.128534646,-0.080032707,-0.001487513,0.112690379,0.112690379,0.112690379,-0.087514387,-0.13127158,-3.53E-09,Loam
10061,9402,8796,8444,12479,9764,8423,5035,25712,23412,41.33388055,0.10122,0.08804,0.14958,0.14958,0.09528,0.06846,0.0007,0.41424,0.36824,0.41424,-0.213803283,-0.185963654,-0.315952332,-0.315952332,-0.201256439,-0.14460554,-0.001478584,-0.874983915,-0.777819807,-0.874983915,-0.122060873,-0.18309131,-5.92E-09,Loam
10957,10450,10123,10624,12382,13900,12966,5037,28075,25289,30.50603499,0.11914,0.109,0.14764,0.14764,0.178,0.15932,0.00074,0.4615,0.40578,0.4615,-0.150917646,-0.138073052,-0.187019316,-0.187019316,-0.225477095,-0.201814667,-0.000937377,-0.584593704,-0.514011773,-0.584593704,0.057758161,0.086637242,2.11E-09,Sand
10582,9969,9385,9199,13431,11234,9525,5026,28023,25811,43.11739464,0.11164,0.09938,0.16862,0.16862,0.12468,0.0905,0.00052,0.46046,0.41622,0.46046,-0.146695535,-0.130585832,-0.221567549,-0.221567549,-0.163830162,-0.118917466,-0.000683283,-0.605046812,-0.546915224,-0.605046812,-0.089073586,-0.133610379,-3.65E-09,Silty Clay Loam
10800,10202,9515,9339,10982,10145,9396,5039,25410,23158,32.59260874,0.116,0.10404,0.11964,0.11964,0.1029,0.08792,0.00078,0.4082,0.36316,0.4082,0.125631257,0.112678241,0.129573479,0.129573479,0.111443589,0.095219829,0.000844762,0.442092062,0.393312477,0.442092062,-0.039617551,-0.059426327,-1.84E-09,Silty Clay
10703,10063,9375,9002,11001,9724,8389,5024,25115,22854,33.83660142,0.11406,0.10126,0.12002,0.12002,0.09448,0.06778,0.00048,0.4023,0.35708,0.4023,0.172798708,0.153406954,0.181827994,0.181827994,0.143135385,0.102685398,0.000727191,0.60947677,0.540969339,0.60947677,-0.061616405,-0.092424608,-2.97E-09,Silt Loam
9988,9273,9037,8418,15134,10147,8035,5052,28326,26229,45.90434748,0.09976,0.08546,0.20268,0.20268,0.10294,0.0607,0.00104,0.46652,0.42458,0.46652,0.106247247,0.091017339,0.215859983,0.215859983,0.109634037,0.064647232,0.00110763,0.496857112,0.452189815,0.496857112,-0.197262767,-0.29589415,-8.75E-09,Silty Clay Loam
11343,11078,11282,11834,15091,15383,14010,5074,31390,28173,42.51401151,0.12686,0.12156,0.20182,0.20182,0.20766,0.1802,0.00148,0.5278,0.46346,0.5278,-0.127529481,-0.122201512,-0.20288507,-0.20288507,-0.208755889,-0.181150974,-0.00148781,-0.530585372,-0.465905829,-0.530585372,0.009581939,0.014372908,2.84E-10,Loamy Sand
10178,9644,9227,9410,13395,12603,10761,5035,26596,23885,41.33388055,0.10356,0.09288,0.1679,0.1679,0.15206,0.11522,0.0007,0.43192,0.3777,0.43192,-0.218745979,-0.196187007,-0.354648994,-0.354648994,-0.321190745,-0.243374968,-0.001478584,-0.912328728,-0.797801817,-0.912328728,-0.030463882,-0.045695823,-1.22E-09,Sandy Loam
11221,10691,10284,10430,13239,12226,10463,5074,0,0,36.60746533,0.12442,0.11382,0.16478,0.16478,0.14452,0.10926,0.00148,-0.1,-0.1,-0.1,-0.14020937,-0.128264189,-0.185691207,-0.185691207,-0.162860136,-0.123125508,-0.001667818,0.112690379,0.112690379,0.112690379,-0.03978009,-0.059670135,-1.46E-09,Sand
17212,17237,16728,17479,19083,17320,15138,5130,19611,18598,31.11537067,0.24424,0.24474,0.28166,0.28166,0.2464,0.20276,0.0026,0.29222,0.27196,0.29222,-0.824992434,-0.826681331,-0.95138949,-0.95138949,-0.832288469,-0.684881534,-0.008782265,-0.987058995,-0.918624887,-0.987058995,-0.048430074,-0.072645112,-7.74E-10,Sandy Clay Loam
10185,9557,9143,8879,14676,12023,10074,5049,29690,26902,44.08420483,0.1037,0.09114,0.19352,0.19352,0.14046,0.10148,0.00098,0.4938,0.43804,0.4938,1.019351127,0.895888734,1.902264513,1.902264513,1.380694882,0.997528952,0.009633212,4.853959367,4.305849253,4.853959367,-0.099367017,-0.149050526,-3.93E-09,Clay Loam
10760,9965,9122,8524,12750,9814,7691,5026,25227,23305,36.8558695,0.1152,0.0993,0.155,0.155,0.09628,0.05382,0.00052,0.40454,0.3661,0.40454,-0.154257477,-0.132966732,-0.207551293,-0.207551293,-0.128922829,-0.072067165,-0.000696301,-0.541695484,-0.490222764,-0.541695484,-0.130118773,-0.19517816,-5.89E-09,Loam
10250,9640,8788,8432,10021,8190,6850,5040,0,0,31.34267194,0.105,0.0928,0.10042,0.10042,0.0638,0.037,0.0008,-0.1,-0.1,-0.1,-1.434639925,-1.267948429,-1.372062298,-1.372062298,-0.871714545,-0.505539783,-0.01093059,1.366323738,1.366323738,1.366323738,-0.100543627,-0.150815441,-5.78E-09,Loamy Sand
9671,9149,8681,8730,10319,10757,9674,5033,24079,22155,31.34267194,0.09342,0.08298,0.10638,0.10638,0.11514,0.09348,0.00066,0.38158,0.3431,0.38158,-1.276419636,-1.133775438,-1.453495192,-1.453495192,-1.573185152,-1.27723943,-0.009017737,-5.213618119,-4.687856745,-5.213618119,0.020781932,0.031172898,1.08E-09,Sandy Loam
10371,9809,9114,8943,10870,10222,8929,5043,0,0,31.34267194,0.10742,0.09618,0.1174,0.1174,0.10444,0.07858,0.00086,-0.1,-0.1,-0.1,-1.467704959,-1.314130171,-1.604064068,-1.604064068,-1.426988512,-1.073657193,-0.011750384,1.366323738,1.366323738,1.366323738,-0.030722549,-0.046083823,-1.49E-09,Loamy Sand
10429,9672,9104,8268,15481,10573,7854,5020,27434,25326,41.90139198,0.10858,0.09344,0.20962,0.20962,0.11146,0.05708,0.0004,0.44868,0.40652,0.44868,-0.124419702,-0.107071072,-0.240199465,-0.240199465,-0.127719838,-0.065406858,-0.000458352,-0.514133652,-0.465823331,-0.514133652,-0.188377984,-0.282566976,-7.75E-09,Silty Clay Loam
10694,10098,9608,9619,12923,12120,10368,5039,26379,23610,41.33388055,0.11388,0.10196,0.15846,0.15846,0.1424,0.10736,0.00078,0.42758,0.3722,0.42758,-0.240544535,-0.215366358,-0.334709229,-0.334709229,-0.300786282,-0.226772579,-0.001647565,-0.903161506,-0.786184369,-0.903161506,-0.032064848,-0.048097273,-1.27E-09,Loam
10231,9575,9509,8802,17538,11709,8772,5046,28487,26187,44.71666948,0.10462,0.0915,0.25076,0.25076,0.13418,0.07544,0.00092,0.46974,0.42374,0.46974,0.156120966,0.136542424,0.374200855,0.374200855,0.200232376,0.112576617,0.001372886,0.700977466,0.632333188,0.700977466,-0.199302493,-0.298953739,-7.41E-09,Clay Loam
12977,12404,11641,11636,14925,11813,10421,6319,17686,16982,36.29734783,0.15954,0.14808,0.1985,0.1985,0.13626,0.10842,0.02638,0.25372,0.23964,0.25372,-0.161846635,-0.150220946,-0.20136992,-0.20136992,-0.138230052,-0.10998754,-0.026761403,-0.257388293,-0.243104723,-0.257388293,-0.11638866,-0.174582991,-3.56E-09,Silt Loam
9698,9187,8811,8866,10609,10665,9606,5027,23960,22015,31.34267194,0.09396,0.08374,0.11218,0.11218,0.1133,0.09212,0.00054,0.3792,0.3403,0.3792,-1.283797784,-1.144159498,-1.532741969,-1.532741969,-1.548044795,-1.258657427,-0.007378148,-5.181099614,-4.64959968,-5.181099614,0.002632321,0.003948482,1.35E-10,Sandy Loam
13211,12540,11616,11422,12558,9201,8786,7800,18559,15638,31.11537067,0.16422,0.1508,0.15116,0.15116,0.08402,0.07572,0.056,0.27118,0.21276,0.27118,-0.554701349,-0.509371352,-0.510587358,-0.510587358,-0.283802261,-0.25576657,-0.18915647,-0.915990207,-0.718659475,-0.915990207,-0.154280987,-0.231421481,-5.79E-09,Sandy Clay Loam
10359,9659,9241,9249,14660,13800,10665,5052,29930,27445,45.90434748,0.10718,0.09318,0.1932,0.1932,0.176,0.1133,0.00104,0.4986,0.4489,0.4986,0.114149758,0.099239359,0.205763513,0.205763513,0.187445022,0.120667733,0.00110763,0.531023227,0.478091309,0.531023227,-0.03021785,-0.045326774,-1.10E-09,Silt Loam
10724,10160,9638,9836,12216,13066,11869,5042,28645,25466,30.50603499,0.11448,0.1032,0.14432,0.14432,0.16132,0.13738,0.00084,0.4729,0.40932,0.4729,-0.145014707,-0.130726046,-0.182813788,-0.182813788,-0.204348118,-0.174022715,-0.001064049,-0.599034371,-0.51849598,-0.599034371,0.033620758,0.050431137,1.31E-09,Sand
10335,9656,9237,9064,14897,12739,10140,5069,30123,27489,45.90434748,0.1067,0.09312,0.19794,0.19794,0.15478,0.1028,0.00138,0.50246,0.44978,0.50246,0.113638545,0.099175457,0.210811748,0.210811748,0.164845117,0.109484933,0.001469739,0.535134237,0.479028534,0.535134237,-0.078086554,-0.117129831,-2.94E-09,Silty Clay
21454,21775,20908,21874,19710,21306,18781,5073,19364,18281,31.11537067,0.32908,0.3355,0.2942,0.2942,0.32612,0.27562,0.00146,0.28728,0.26562,0.28728,-1.111564486,-1.133249925,-0.993747028,-0.993747028,-1.101566216,-0.930987613,-0.004931579,-0.970372692,-0.897209672,-0.970372692,0.038911644,0.058367466,4.36E-10,Clay Loam
11075,10625,10497,11038,14342,14740,12944,5052,29896,27303,43.72487256,0.1215,0.1125,0.18684,0.18684,0.1948,0.15888,0.00104,0.49792,0.44606,0.49792,-0.477236315,-0.441885477,-0.7338834,-0.7338834,-0.765149252,-0.624060129,-0.004084986,-1.955765481,-1.752066096,-1.955765481,0.013685441,0.020528162,4.43E-10,Loam
11275,10931,10963,11351,14593,14739,13358,5063,31582,28440,42.51401151,0.1255,0.11862,0.19186,0.19186,0.19478,0.16716,0.00126,0.53164,0.4688,0.53164,-0.126162304,-0.119245996,-0.192872508,-0.192872508,-0.195807917,-0.168042158,-0.001266649,-0.534445637,-0.47127401,-0.534445637,0.004977499,0.007466248,1.55E-10,Loamy Sand
10742,10177,9625,9867,12088,13079,11933,5019,28600,25441,30.50603499,0.11484,0.10354,0.14176,0.14176,0.16158,0.13866,0.00038,0.472,0.40882,0.472,-0.145470728,-0.131156733,-0.179570972,-0.179570972,-0.204677466,-0.175644123,-0.000481356,-0.597894319,-0.517862617,-0.597894319,0.039376962,0.059065443,1.54E-09,Sand
11344,10874,10492,10820,13206,14665,12708,5037,0,0,30.50603499,0.12688,0.11748,0.16412,0.16412,0.1933,0.15416,0.00074,-0.1,-0.1,-0.1,-0.1607221,-0.148814883,-0.207894948,-0.207894948,-0.244857991,-0.195278365,-0.000937377,0.126672525,0.126672525,0.126672525,0.052348319,0.078522479,1.73E-09,Sandy Clay Loam
10959,10480,10161,10701,12761,14659,13725,5042,28238,25315,30.50603499,0.11918,0.1096,0.15522,0.15522,0.19318,0.1745,0.00084,0.46476,0.4063,0.46476,-0.150968315,-0.138833088,-0.196621094,-0.196621094,-0.244705984,-0.221043556,-0.001064049,-0.588723228,-0.51467047,-0.588723228,0.069219548,0.103829322,2.42E-09,Sand
10908,10234,9956,10137,13764,12809,11264,5028,29262,26908,44.9244991,0.11816,0.10468,0.17528,0.17528,0.15618,0.12528,0.00056,0.48524,0.43816,0.48524,0.146083075,0.129417538,0.216701433,0.216701433,0.193087802,0.154885643,0.000692337,0.599909879,0.541704131,0.599909879,-0.035938735,-0.053908102,-1.32E-09,Silty Clay Loam
12953,12424,11257,11119,13069,10317,9489,7155,15805,14973,36.29734783,0.15906,0.14848,0.16138,0.16138,0.10634,0.08978,0.0431,0.2161,0.19946,0.2161,-0.161359695,-0.150626729,-0.163713238,-0.163713238,-0.107877467,-0.091078042,-0.043723141,-0.219224381,-0.2023438,-0.219224381,-0.117677243,-0.176515864,-4.11E-09,Sandy Loam
11306,10999,11099,11772,13678,14973,13971,5059,31921,28789,42.51401151,0.12612,0.11998,0.17356,0.17356,0.19946,0.17942,0.00118,0.53842,0.47578,0.53842,-0.126785576,-0.120613173,-0.174475933,-0.174475933,-0.200512615,-0.180366858,-0.001186227,-0.541261417,-0.478290846,-0.541261417,0.04519912,0.067798681,1.44E-09,Loamy Sand
10775,10210,9891,9954,13546,13284,11512,5056,29466,26831,43.72487256,0.1155,0.1042,0.17092,0.17092,0.16568,0.13024,0.00112,0.48932,0.43662,0.48932,-0.45366909,-0.409284148,-0.671351695,-0.671351695,-0.650769652,-0.511565907,-0.004399215,-1.921985791,-1.714986995,-1.921985791,-0.009765188,-0.014647782,-3.56E-10,Sandy Loam
10607,9970,9428,9358,12187,11350,9980,5037,28332,26117,43.11739464,0.11214,0.0994,0.14374,0.14374,0.127,0.0996,0.00074,0.46664,0.42234,0.46664,-0.147352538,-0.130612112,-0.1888751,-0.1888751,-0.166878654,-0.130874913,-0.000972364,-0.613167364,-0.554956936,-0.613167364,-0.035561032,-0.053341547,-1.52E-09,Silty Clay
10542,9914,9345,8530,13958,8942,6779,4996,24726,22757,33.83660142,0.11084,0.09828,0.17916,0.17916,0.07884,0.03558,-8.00E-05,0.39452,0.35514,0.39452,0.16792047,0.148892312,0.271423957,0.271423957,0.119441085,0.053903016,-0.000121198,0.597690219,0.538030276,0.597690219,-0.219039301,-0.328558952,-1.01E-08,Silt Loam
12979,12318,11625,11296,16066,11349,9781,6431,17133,16704,36.29734783,0.15958,0.14636,0.22132,0.22132,0.12698,0.09562,0.02862,0.24266,0.23408,0.24266,-0.161887213,-0.148476078,-0.224519852,-0.224519852,-0.128815881,-0.097002477,-0.029033789,-0.246168387,-0.237464337,-0.246168387,-0.172059092,-0.258088638,-5.25E-09,Silt Loam
10580,9942,9346,8558,13734,9109,6930,5013,25003,22935,33.83660142,0.1116,0.09884,0.17468,0.17468,0.08218,0.0386,0.00026,0.40006,0.3587,0.40006,0.169071856,0.149740701,0.264636843,0.264636843,0.124501121,0.058478258,0.000393895,0.606083213,0.543423607,0.606083213,-0.202469028,-0.303703542,-9.29E-09,Silt Loam
10151,9510,9771,9278,19791,13226,9664,5048,29182,26788,45.90434748,0.10302,0.0902,0.29582,0.29582,0.16452,0.09328,0.00096,0.48364,0.43576,0.48364,0.10971924,0.096065574,0.315056741,0.315056741,0.175218494,0.099345862,0.001022427,0.5150904,0.464096834,0.5150904,-0.198836963,-0.298255444,-6.59E-09,Silty Clay
10866,10312,9870,10267,12042,13963,13122,5044,28729,25595,30.50603499,0.11732,0.10624,0.14084,0.14084,0.17926,0.16244,0.00088,0.47458,0.4119,0.47458,-0.148612207,-0.134576891,-0.178405584,-0.178405584,-0.227073169,-0.20576685,-0.001114718,-0.60116247,-0.521764131,-0.60116247,0.07387041,0.110805614,2.77E-09,Sand
10444,9891,9250,9210,10180,10428,9382,5034,0,0,31.34267194,0.10888,0.09782,0.1036,0.1036,0.10856,0.08764,0.00068,-0.1,-0.1,-0.1,-1.487653286,-1.33653788,-1.415511393,-1.415511393,-1.48328105,-1.197446124,-0.009291001,1.366323738,1.366323738,1.366323738,0.012034161,0.018051242,5.90E-10,Loamy Sand
10821,10246,9749,9892,11858,12369,11368,5043,27579,24717,41.33388055,0.11642,0.10492,0.13716,0.13716,0.14738,0.12736,0.00086,0.45158,0.39434,0.45158,-0.245909684,-0.221618657,-0.289718023,-0.289718023,-0.311305353,-0.269017843,-0.001816546,-0.953855823,-0.832949877,-0.953855823,0.02109217,0.031638255,8.50E-10,Sandy Loam
11061,10517,10277,10495,13406,13574,11887,5059,29889,27301,43.72487256,0.12122,0.11034,0.16812,0.16812,0.17148,0.13774,0.00118,0.49778,0.44602,0.49778,-0.476136511,-0.433401276,-0.660353657,-0.660353657,-0.673551303,-0.541024939,-0.004634888,-1.955215579,-1.751908981,-1.955215579,0.006226835,0.009340252,2.19E-10,Loam
10253,9628,8774,8384,10194,8487,6772,5039,0,0,31.34267194,0.10506,0.09256,0.10388,0.10388,0.06974,0.03544,0.00078,-0.1,-0.1,-0.1,-1.435459719,-1.264669252,-1.419337099,-1.419337099,-0.952874175,-0.484225133,-0.010657325,1.366323738,1.366323738,1.366323738,-0.091376265,-0.137064397,-5.12E-09,Loamy Sand
11274,10681,10068,9923,12947,11132,9488,5042,0,0,36.60746533,0.12548,0.11362,0.15894,0.15894,0.12264,0.08976,0.00084,-0.1,-0.1,-0.1,-0.141403888,-0.128038809,-0.179110088,-0.179110088,-0.138203481,-0.101150884,-0.000946599,0.112690379,0.112690379,0.112690379,-0.075376884,-0.113065327,-2.95E-09,Loam
10374,9649,9020,8506,13826,9529,7515,5053,26161,23509,41.33388055,0.10748,0.09298,0.17652,0.17652,0.09058,0.0503,0.00106,0.42322,0.37018,0.42322,-0.22702605,-0.196398234,-0.372856703,-0.372856703,-0.191328802,-0.10624684,-0.002238999,-0.893952038,-0.781917597,-0.893952038,-0.183986298,-0.275979448,-8.45E-09,Loam
10645,10075,9309,9115,10135,9245,8498,5032,24894,22919,31.34267194,0.1129,0.1015,0.1027,0.1027,0.0849,0.06996,0.00064,0.39788,0.35838,0.39788,-1.5425795,-1.386818594,-1.403214479,-1.403214479,-1.160008854,-0.955880087,-0.008744472,-5.436328889,-4.896631012,-5.436328889,-0.045923633,-0.068885449,-2.36E-09,Silty Clay Loam
10424,9889,9252,9233,10404,10676,9785,5025,0,0,31.34267194,0.10848,0.09778,0.10808,0.10808,0.11352,0.0957,0.0005,-0.1,-0.1,-0.1,-1.482187991,-1.335991351,-1.476722696,-1.476722696,-1.551050707,-1.307571817,-0.006831619,1.366323738,1.366323738,1.366323738,0.012903226,0.019354839,6.19E-10,Loamy Sand
10633,10058,9552,9576,11043,11164,10081,5035,28275,26064,43.11739464,0.11266,0.10116,0.12086,0.12086,0.12328,0.10162,0.0007,0.4655,0.42128,0.4655,-0.14803582,-0.132924761,-0.158810663,-0.158810663,-0.161990555,-0.133529203,-0.000919804,-0.611669398,-0.55356409,-0.611669398,0.005448732,0.008173099,2.44E-10,Silty Clay
9650,9106,8535,8498,9954,9896,8953,5047,23912,22002,31.34267194,0.093,0.08212,0.09908,0.09908,0.09792,0.07906,0.00094,0.37824,0.34004,0.37824,-1.270681076,-1.122025054,-1.35375356,-1.35375356,-1.337904204,-1.080215547,-0.012843443,-5.167982906,-4.646047238,-5.167982906,-0.002921914,-0.004382872,-1.62E-10,Sandy Loam
10758,10257,10254,10868,14294,14225,12436,5055,30318,27613,31.14497438,0.11516,0.10514,0.18588,0.18588,0.1845,0.14872,0.0011,0.50636,0.45226,0.50636,-0.43026505,-0.392827956,-0.694491729,-0.694491729,-0.689335722,-0.555653163,-0.004109861,-1.891880955,-1.689750535,-1.891880955,-0.00241944,-0.00362916,-8.27E-11,Silty Clay Loam
11078,10550,10070,10167,13559,12133,10289,5072,0,0,36.60746533,0.12156,0.111,0.17118,0.17118,0.14266,0.10578,0.00144,-0.1,-0.1,-0.1,-0.136986425,-0.125086321,-0.192903391,-0.192903391,-0.160764095,-0.119203883,-0.001622741,0.112690379,0.112690379,0.112690379,-0.055503659,-0.083255488,-2.05E-09,Sand
